mi,Erm/Sci,Scm/Po,Distance,X*,R*,u0*,u*,Ur,strain
10,22.95,0.4,17,3.4,2.11,0.242898,0.932479,0.177171,3.543421
10,22.95,0.4,18,3.6,2.11,0.242898,0.941428,0.178871,3.577427
10,22.95,0.4,19,3.8,2.11,0.242898,0.949191,0.180346,3.606925
10,22.95,0.4,20,4,2.11,0.242898,0.955925,0.181626,3.632515
10,22.95,0.4,21,4.2,2.11,0.242898,0.961766,0.182736,3.654712
10,22.95,0.4,22,4.4,2.11,0.242898,0.966834,0.183698,3.673968
10,22.95,0.4,23,4.6,2.11,0.242898,0.971229,0.184534,3.690672
10,22.95,0.4,24,4.8,2.11,0.242898,0.975042,0.185258,3.705161
10,22.95,0.4,25,5,2.11,0.242898,0.97835,0.185887,3.717731
10,22.95,0.4,26,5.2,2.11,0.242898,0.98122,0.186432,3.728634
10,22.95,0.4,27,5.4,2.11,0.242898,0.983709,0.186905,3.738093
10,22.95,0.4,28,5.6,2.11,0.242898,0.985868,0.187315,3.746298
10,22.95,0.4,29,5.8,2.11,0.242898,0.987741,0.187671,3.753415
10,22.95,0.4,30,6,2.11,0.242898,0.989366,0.187979,3.759589
10,22.95,0.4,31,6.2,2.11,0.242898,0.990775,0.188247,3.764945
10,22.95,0.4,32,6.4,2.11,0.242898,0.991998,0.18848,3.769591
10,22.95,0.4,33,6.6,2.11,0.242898,0.993058,0.188681,3.773621
10,22.95,0.4,34,6.8,2.11,0.242898,0.993978,0.188856,3.777117
10,22.95,0.4,35,7,2.11,0.242898,0.994776,0.189008,3.78015
10,22.95,0.4,36,7.2,2.11,0.242898,0.995469,0.189139,3.782781
10,22.95,0.4,37,7.4,2.11,0.242898,0.996069,0.189253,3.785063
10,22.95,0.4,38,7.6,2.11,0.242898,0.99659,0.189352,3.787043
10,22.95,0.4,39,7.8,2.11,0.242898,0.997042,0.189438,3.78876
10,22.95,0.4,40,8,2.11,0.242898,0.997434,0.189512,3.79025
10,22.95,0.4,41,8.2,2.11,0.242898,0.997774,0.189577,3.791542
